time	amp
1.0208	0.0262451
1.0212	0.0231934
1.0216	0.022583
1.022	0.0231934
1.0224	0.0256348
1.0228	0.022583
1.0232	0.0238037
1.0236	0.0256348
1.024	0.0250244
1.0244	0.0262451
1.0248	0.0250244
1.0252	0.0219727
1.0256	0.0231934
1.026	0.0238037
1.0264	0.0238037
1.0268	0.0250244
1.0272	0.0213623
1.0276	0.0244141
1.028	0.0256348
1.0284	0.0231934
1.0288	0.0250244
1.0292	0.0238037
1.0296	0.0219727
1.03	0.0238037
1.0304	0.0244141
1.0308	0.0256348
1.0312	0.0238037
1.0316	0.0250244
1.032	0.0256348
1.0324	0.0244141
1.0328	0.0219727
1.0332	0.0231934
1.0336	0.0250244
1.034	0.0231934
1.0344	0.0274658
1.0348	0.0256348
1.0352	0.0231934
1.0356	0.0250244
1.036	0.0231934
1.0364	0.0256348
1.0368	0.0256348
1.0372	0.0238037
1.0376	0.0244141
1.038	0.0238037
1.0384	0.0250244
1.0388	0.0238037
1.0392	0.022583
1.0396	0.0256348
1.04	0.0274658
1.0404	0.0250244
1.0408	0.0262451
1.0412	0.0250244
1.0416	0.0256348
1.042	0.0262451
1.0424	0.0280762
1.0428	0.0231934
1.0432	0.0262451
1.0436	0.0250244
1.044	0.0256348
1.0444	0.0268555
1.0448	0.0250244
1.0452	0.0244141
1.0456	0.0250244
1.046	0.0244141
1.0464	0.0244141
1.0468	0.0262451
1.0472	0.0256348
1.0476	0.0250244
1.048	0.0262451
1.0484	0.0231934
1.0488	0.0256348
1.0492	0.0244141
1.0496	0.0213623
1.05	0.0268555
1.0504	0.0262451
1.0508	0.0244141
1.0512	0.0250244
1.0516	0.0219727
1.052	0.0244141
1.0524	0.0256348
1.0528	0.022583
1.0532	0.0250244
1.0536	0.0238037
1.054	0.0238037
1.0544	0.0231934
1.0548	0.0244141
1.0552	0.0238037
1.0556	0.0238037
1.056	0.0250244
1.0564	0.0268555
1.0568	0.0250244
1.0572	0.0244141
1.0576	0.0256348
1.058	0.0244141
1.0584	0.0250244
1.0588	0.0250244
1.0592	0.022583
1.0596	0.022583
1.06	0.0244141
1.0604	0.0238037
1.0608	0.022583
1.0612	0.022583
1.0616	0.0231934
1.062	0.022583
1.0624	0.0238037
1.0628	0.0250244
1.0632	0.0231934
1.0636	0.0268555
1.064	0.0238037
1.0644	0.0244141
1.0648	0.0238037
1.0652	0.0219727
1.0656	0.0268555
1.066	0.0250244
1.0664	0.0250244
1.0668	0.022583
1.0672	0.0250244
1.0676	0.0238037
1.068	0.0231934
1.0684	0.0238037
1.0688	0.0238037
1.0692	0.0250244
1.0696	0.0219727
1.07	0.0262451
1.0704	0.0238037
1.0708	0.0231934
1.0712	0.0262451
1.0716	0.0256348
1.072	0.0244141
1.0724	0.0238037
1.0728	0.0238037
1.0732	0.0244141
1.0736	0.0244141
1.074	0.0244141
1.0744	0.0244141
1.0748	0.0231934
1.0752	0.022583
1.0756	0.0256348
1.076	0.022583
1.0764	0.0238037
1.0768	0.0250244
1.0772	0.0231934
1.0776	0.0250244
1.078	0.0274658
1.0784	0.0238037
1.0788	0.0256348
1.0792	0.0244141
1.0796	0.0231934
1.08	0.0262451
1.0804	0.0250244
1.0808	0.0238037
1.0812	0.022583
1.0816	0.0231934
1.082	0.022583
1.0824	0.0244141
1.0828	0.0244141
1.0832	0.0238037
1.0836	0.0250244
1.084	0.0250244
1.0844	0.0256348
1.0848	0.0250244
1.0852	0.0231934
1.0856	0.022583
1.086	0.0231934
1.0864	0.0262451
1.0868	0.0262451
1.0872	0.022583
1.0876	0.0244141
1.088	0.0231934
1.0884	0.022583
1.0888	0.0256348
1.0892	0.0256348
1.0896	0.022583
1.09	0.0244141
1.0904	0.022583
1.0908	0.022583
1.0912	0.0250244
1.0916	0.0244141
1.092	0.0238037
1.0924	0.0250244
1.0928	0.0244141
1.0932	0.0244141
1.0936	0.0256348
1.094	0.0238037
1.0944	0.0256348
1.0948	0.0256348
1.0952	0.0238037
1.0956	0.022583
1.096	0.022583
1.0964	0.0231934
1.0968	0.0244141
1.0972	0.0213623
1.0976	0.0213623
1.098	0.0238037
1.0984	0.0231934
1.0988	0.0238037
1.0992	0.022583
1.0996	0.0219727
1.1	0.0231934
1.1004	0.0250244
1.1008	0.0231934
1.1012	0.0238037
1.1016	0.0231934
1.102	0.022583
1.1024	0.0250244
1.1028	0.0256348
1.1032	0.0256348
1.1036	0.0256348
1.104	0.0244141
1.1044	0.0231934
1.1048	0.0250244
1.1052	0.0231934
1.1056	0.0244141
1.106	0.0238037
1.1064	0.0256348
1.1068	0.0262451
1.1072	0.022583
1.1076	0.0244141
1.108	0.0250244
1.1084	0.022583
1.1088	0.0268555
1.1092	0.0262451
1.1096	0.0250244
1.11	0.0256348
1.1104	0.0262451
1.1108	0.0250244
1.1112	0.0256348
1.1116	0.0238037
1.112	0.0244141
1.1124	0.0274658
1.1128	0.0238037
1.1132	0.0244141
1.1136	0.0231934
1.114	0.0213623
1.1144	0.0268555
1.1148	0.0244141
1.1152	0.0238037
1.1156	0.0262451
1.116	0.0244141
1.1164	0.0219727
1.1168	0.0250244
1.1172	0.0238037
1.1176	0.022583
1.118	0.0250244
1.1184	0.0231934
1.1188	0.0231934
1.1192	0.020752
1.1196	0.0231934
1.12	0.0268555
1.1204	0.0238037
1.1208	0.0231934
1.1212	0.0238037
1.1216	0.0250244
1.122	0.0238037
1.1224	0.0274658
1.1228	0.0244141
1.1232	0.0256348
1.1236	0.0244141
1.124	0.0268555
1.1244	0.0250244
1.1248	0.0250244
1.1252	0.0238037
1.1256	0.0250244
1.126	0.022583
1.1264	0.0244141
1.1268	0.0231934
1.1272	0.0244141
1.1276	0.0231934
1.128	0.0231934
1.1284	0.0231934
1.1288	0.022583
1.1292	0.0250244
1.1296	0.0238037
1.13	0.0244141
1.1304	0.0238037
1.1308	0.0238037
1.1312	0.0262451
1.1316	0.0244141
1.132	0.0250244
1.1324	0.0250244
1.1328	0.0250244
1.1332	0.022583
1.1336	0.0256348
1.134	0.0213623
1.1344	0.0244141
1.1348	0.0244141
1.1352	0.0231934
1.1356	0.0268555
1.136	0.0244141
1.1364	0.0268555
1.1368	0.0250244
1.1372	0.0231934
1.1376	0.0244141
1.138	0.0238037
1.1384	0.0238037
1.1388	0.0256348
1.1392	0.0250244
1.1396	0.0256348
1.14	0.0244141
1.1404	0.0256348
1.1408	0.0250244
1.1412	0.0262451
1.1416	0.0238037
1.142	0.0256348
1.1424	0.0250244
1.1428	0.0256348
1.1432	0.0238037
1.1436	0.0268555
1.144	0.0256348
1.1444	0.0256348
1.1448	0.0250244
1.1452	0.0250244
1.1456	0.0262451
1.146	0.022583
1.1464	0.0262451
1.1468	0.0244141
1.1472	0.022583
1.1476	0.022583
1.148	0.0231934
1.1484	0.0231934
1.1488	0.0262451
1.1492	0.0231934
1.1496	0.0244141
1.15	0.0231934
1.1504	0.0219727
1.1508	0.0238037
1.1512	0.0268555
1.1516	0.0250244
1.152	0.0238037
1.1524	0.0250244
1.1528	0.0219727
1.1532	0.0250244
1.1536	0.0262451
1.154	0.020752
1.1544	0.0262451
1.1548	0.0250244
1.1552	0.0231934
1.1556	0.0262451
1.156	0.0231934
1.1564	0.0244141
1.1568	0.0256348
1.1572	0.0231934
1.1576	0.0244141
1.158	0.0244141
1.1584	0.0238037
1.1588	0.0231934
1.1592	0.0238037
1.1596	0.0231934
1.16	0.0244141
1.1604	0.0231934
1.1608	0.0231934
1.1612	0.0250244
1.1616	0.0238037
1.162	0.0268555
1.1624	0.0262451
1.1628	0.0231934
1.1632	0.0256348
1.1636	0.0250244
1.164	0.0244141
1.1644	0.0262451
1.1648	0.0244141
1.1652	0.0231934
1.1656	0.0244141
1.166	0.0250244
1.1664	0.0250244
1.1668	0.0244141
1.1672	0.0244141
1.1676	0.0244141
1.168	0.0250244
1.1684	0.0250244
1.1688	0.0256348
1.1692	0.0250244
1.1696	0.022583
1.17	0.0250244
1.1704	0.0238037
1.1708	0.0219727
1.1712	0.0238037
1.1716	0.0244141
1.172	0.0231934
1.1724	0.0262451
1.1728	0.0256348
1.1732	0.0238037
1.1736	0.0238037
1.174	0.0238037
1.1744	0.0250244
1.1748	0.0244141
1.1752	0.0238037
1.1756	0.0231934
1.176	0.0244141
1.1764	0.0244141
1.1768	0.0262451
1.1772	0.022583
1.1776	0.0238037
1.178	0.0244141
1.1784	0.020752
1.1788	0.0250244
1.1792	0.0244141
1.1796	0.022583
1.18	0.0268555
1.1804	0.0262451
1.1808	0.0250244
1.1812	0.0256348
1.1816	0.0256348
1.182	0.0244141
1.1824	0.0256348
1.1828	0.0238037
1.1832	0.0250244
1.1836	0.0238037
1.184	0.0213623
1.1844	0.0238037
1.1848	0.0238037
1.1852	0.0238037
1.1856	0.0244141
1.186	0.0231934
1.1864	0.0231934
1.1868	0.0244141
1.1872	0.0231934
1.1876	0.0256348
1.188	0.0268555
1.1884	0.0250244
1.1888	0.0262451
1.1892	0.0256348
1.1896	0.0244141
1.19	0.0244141
1.1904	0.0268555
1.1908	0.0244141
1.1912	0.0250244
1.1916	0.0274658
1.192	0.0250244
1.1924	0.0268555
1.1928	0.0250244
1.1932	0.0231934
1.1936	0.0262451
1.194	0.0219727
1.1944	0.0256348
1.1948	0.0268555
1.1952	0.0244141
1.1956	0.0256348
1.196	0.0256348
1.1964	0.0256348
1.1968	0.0250244
1.1972	0.0238037
1.1976	0.0250244
1.198	0.0244141
1.1984	0.0244141
1.1988	0.0262451
1.1992	0.0238037
1.1996	0.022583
1.2	0.0250244
1.2004	0.0256348
1.2008	0.0256348
1.2012	0.0256348
1.2016	0.0231934
1.202	0.0244141
1.2024	0.0268555
1.2028	0.0256348
1.2032	0.0244141
1.2036	0.0250244
1.204	0.020752
1.2044	0.0238037
1.2048	0.0238037
1.2052	0.0238037
1.2056	0.0244141
1.206	0.022583
1.2064	0.0244141
1.2068	0.0213623
1.2072	0.022583
1.2076	0.0238037
1.208	0.0250244
1.2084	0.0231934
1.2088	0.0231934
1.2092	0.0262451
1.2096	0.0231934
1.21	0.0244141
1.2104	0.0238037
1.2108	0.0244141
1.2112	0.0268555
1.2116	0.0244141
1.212	0.0244141
1.2124	0.0213623
1.2128	0.0250244
1.2132	0.0238037
1.2136	0.0231934
1.214	0.0250244
1.2144	0.0244141
1.2148	0.0262451
1.2152	0.0231934
1.2156	0.0274658
1.216	0.0250244
1.2164	0.0238037
1.2168	0.0250244
1.2172	0.0250244
1.2176	0.0262451
1.218	0.0268555
1.2184	0.0244141
1.2188	0.0250244
1.2192	0.022583
1.2196	0.0231934
1.22	0.0280762
1.2204	0.0238037
1.2208	0.0244141
1.2212	0.0244141
1.2216	0.0244141
1.222	0.0238037
1.2224	0.0219727
1.2228	0.0238037
1.2232	0.0238037
1.2236	0.0231934
1.224	0.0250244
1.2244	0.0244141
1.2248	0.0244141
1.2252	0.022583
1.2256	0.0238037
1.226	0.0213623
1.2264	0.0238037
1.2268	0.0231934
1.2272	0.0256348
1.2276	0.0238037
1.228	0.0244141
1.2284	0.0250244
1.2288	0.0256348
1.2292	0.022583
1.2296	0.0238037
1.23	0.0238037
1.2304	0.0238037
1.2308	0.0231934
1.2312	0.0256348
1.2316	0.0244141
1.232	0.0238037
1.2324	0.0231934
1.2328	0.0238037
1.2332	0.0231934
1.2336	0.0244141
1.234	0.0244141
1.2344	0.0244141
1.2348	0.022583
1.2352	0.022583
1.2356	0.0256348
1.236	0.0238037
1.2364	0.0238037
1.2368	0.0238037
1.2372	0.0238037
1.2376	0.0231934
1.238	0.0250244
1.2384	0.022583
1.2388	0.0238037
1.2392	0.022583
1.2396	0.0244141
1.24	0.0262451
1.2404	0.022583
1.2408	0.0244141
1.2412	0.0244141
1.2416	0.0262451
